state,prediction,total_vehicles,avg_price,avg_year
3vwd17aj6fm218641,0,1,19996.08,2015.0
il,1,23476,12730.948849037353,2011.4829613222014
ne,1,4012,11297.526597706928,2009.9157527417747
ns,1,61,10766.465737704913,2010.9180327868853
pr,1,2722,12118.163644379129,2010.0172667156503
tx,1,45912,11404.81471772082,2010.1572355811118
3vwd17aj2fm258506,0,1,19999.92,2015.0
3vwd17aj2fm261566,0,1,19996.16,2015.0
3vwd17aj5fm221322,0,1,19996.16,2015.0
3vwd17aj5fm225953,0,1,19996.72,2015.0
3vwd17aj7fm326640,0,1,19999.84,2015.0
in,1,4325,11360.802478612715,2010.2790751445086
nv,1,12683,11990.026361271033,2010.043049751636
oh,1,21567,11892.13776603143,2010.1420225344275
3vwd17aj5fm219943,0,1,19996.48,2015.0
3vwd17aj5fm268964,0,1,19999.84,2015.0
3vwd17aj7fm223475,0,1,19996.32,2015.0
ms,1,1851,11113.939789303056,2010.448946515397
nj,1,27782,12010.73097473187,2010.2208984234396
nm,1,171,9794.470994152045,2006.5906432748538
wi,1,9851,11783.689305654241,2010.2557100801948
3vwd17aj3fm276741,0,1,19996.32,2015.0
ab,1,926,8897.203401727862,2009.133909287257
co,1,7775,12433.373984565911,2011.378263665595
ok,1,72,8611.259722222218,2007.625
on,1,3442,11960.482423009873,2011.8102847181872
qc,1,1245,11225.592425702796,2010.9967871485944
sc,1,4251,10662.462272406485,2009.0651611385556
3vwd17aj7fm218440,0,1,19996.64,2015.0
al,1,26,10028.948076923076,2008.3846153846155
ca,1,73133,11593.501070378537,2009.6901262084148
fl,1,82936,11874.205340382874,2010.1703120478442
mn,1,9427,11844.020922881069,2010.7740532512994
tn,1,20895,12469.083320411646,2011.4275185451065
va,1,12025,10117.934159667415,2007.720997920998
3vwd17aj6fm231972,0,1,19996.96,2015.0
3vwd17aj7fm222388,0,1,19997.12,2015.0
3vwd17aj7fm229552,0,1,19996.96,2015.0
3vwd17aj8fm239622,0,1,19999.84,2015.0
3vwd17aj9fm219766,0,1,19996.48,2015.0
ga,1,34747,11256.520076841216,2009.75836762886
ma,1,6725,9587.088374721188,2006.846840148699
nc,1,21844,9862.557592473924,2007.9243270463285
3vwd17aj2fm285365,0,1,19999.92,2015.0
3vwd17aj4fm201708,0,1,19996.32,2015.0
3vwd17aj4fm236636,0,1,19999.6,2015.0
3vwd17aj5fm273601,0,1,19997.76,2015.0
3vwd17aj5fm297123,0,1,19999.84,2015.0
3vwd17aj8fm298895,0,1,19999.84,2015.0
hi,1,1237,12681.350759902993,2010.6063055780114
pa,1,53903,12409.920268259697,2010.7645585588928
wa,1,7413,11859.281834614898,2009.7132065290705
3vwd17aj0fm227318,0,1,19996.72,2015.0
3vwd17aj3fm259017,0,1,19996.32,2015.0
3vwd17aj5fm206111,0,1,19999.84,2015.0
3vwd17ajxfm315938,0,1,19999.92,2015.0
az,1,8734,11312.594690863301,2009.7351728875658
md,1,11156,9910.658687701665,2007.3295984223737
mi,1,15510,11973.575539651836,2010.6075435203095
ut,1,1836,10377.55010348583,2008.8355119825708
la,1,2189,10518.95483325718,2009.4399269072635
mo,1,16011,12073.114929111174,2011.0627693460747
ny,1,5691,11291.323458091749,2009.3929010718678
or,1,1155,11653.961324675318,2009.9168831168831
