state,prediction,total_vehicles,avg_price,avg_year
3vwd17aj0fm227318,1,1,19996.72,2015.0
3vwd17aj2fm258506,1,1,19999.92,2015.0
3vwd17aj2fm261566,1,1,19996.16,2015.0
3vwd17aj2fm285365,1,1,19999.92,2015.0
3vwd17aj3fm259017,1,1,19996.32,2015.0
3vwd17aj3fm276741,1,1,19996.32,2015.0
3vwd17aj4fm201708,1,1,19996.32,2015.0
3vwd17aj4fm236636,1,1,19999.6,2015.0
3vwd17aj5fm206111,1,1,19999.84,2015.0
3vwd17aj5fm219943,1,1,19996.48,2015.0
3vwd17aj5fm221322,1,1,19996.16,2015.0
3vwd17aj5fm225953,1,1,19996.72,2015.0
3vwd17aj5fm268964,1,1,19999.84,2015.0
3vwd17aj5fm273601,1,1,19997.76,2015.0
3vwd17aj5fm297123,1,1,19999.84,2015.0
3vwd17aj6fm218641,1,1,19996.08,2015.0
3vwd17aj6fm231972,1,1,19996.96,2015.0
3vwd17aj7fm218440,1,1,19996.64,2015.0
3vwd17aj7fm222388,1,1,19997.12,2015.0
3vwd17aj7fm223475,1,1,19996.32,2015.0
3vwd17aj7fm229552,1,1,19996.96,2015.0
3vwd17aj7fm326640,1,1,19999.84,2015.0
3vwd17aj8fm239622,1,1,19999.84,2015.0
3vwd17aj8fm298895,1,1,19999.84,2015.0
3vwd17aj9fm219766,1,1,19996.48,2015.0
3vwd17ajxfm315938,1,1,19999.92,2015.0
ab,0,926,8897.203401727862,2009.133909287257
al,0,26,10028.948076923074,2008.3846153846155
az,0,8734,11312.594690863294,2009.7351728875658
ca,0,73133,11593.501070378634,2009.6901262084148
co,0,7775,12433.373984565915,2011.378263665595
fl,0,82936,11874.205340382932,2010.1703120478442
ga,0,34747,11256.520076841167,2009.75836762886
hi,0,1237,12681.35075990299,2010.6063055780114
il,0,23476,12730.948849037313,2011.4829613222014
in,0,4325,11360.802478612717,2010.2790751445086
la,0,2189,10518.954833257194,2009.4399269072635
ma,0,6725,9587.088374721186,2006.846840148699
md,0,11156,9910.658687701685,2007.3295984223737
mi,0,15510,11973.57553965183,2010.6075435203095
mn,0,9427,11844.02092288109,2010.7740532512994
mo,0,16011,12073.114929111236,2011.0627693460747
ms,0,1851,11113.939789303082,2010.448946515397
nc,0,21844,9862.557592473911,2007.9243270463285
ne,0,4012,11297.526597706881,2009.9157527417747
nj,0,27782,12010.730974731841,2010.2208984234396
nm,0,171,9794.470994152045,2006.5906432748538
ns,0,61,10766.465737704919,2010.9180327868853
nv,0,12683,11990.026361270997,2010.043049751636
ny,0,5691,11291.323458091723,2009.3929010718678
oh,0,21567,11892.13776603143,2010.1420225344275
ok,0,72,8611.259722222223,2007.625
on,0,3442,11960.482423009873,2011.8102847181872
or,0,1155,11653.961324675327,2009.9168831168831
pa,0,53903,12409.920268259651,2010.7645585588928
pr,0,2722,12118.163644379138,2010.0172667156503
qc,0,1245,11225.592425702811,2010.9967871485944
sc,0,4251,10662.462272406492,2009.0651611385556
tn,0,20895,12469.083320411573,2011.4275185451065
tx,0,45912,11404.814717720863,2010.1572355811118
ut,0,1836,10377.550103485843,2008.8355119825708
va,0,12025,10117.934159667362,2007.720997920998
wa,0,7413,11859.281834614863,2009.7132065290705
wi,0,9851,11783.689305654247,2010.2557100801948
